Reference,Prediction,WER,CER
sie sözü ilə yanaşı bütün isimlər cümlənin ortasında da olsa həmişə böyük hərflə yazılır,"Siyyə sözü ilə yalanşəm bütün isinglər, cümlələnin ortasında da olsa həmşə böyük herfliyəsidir.",0.5,0.26136363636363635
müvəqqəti qurğu tədris bir metodundan daha çox yeni kompüter proqramında istifadə yaxud da yeni bir layihəyə başlamaq kimi yeni öyrənmə metodlarından istifadə edən tələbələr üçün bir vasitədir,"Müvəqədirq gurgu tədris bir metodunun daha çox yeni qampüzru programında istvədə, yavutla yeni bir layyə başlamak, kimi yeni ürəmme metodlarında istvədə ilən tələbələr üçün bir vastədir.",0.5555555555555556,0.20833333333333334
elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,"Elim adamları panətlərin, susilə de quyrugu ulduzlar uzun zaman elvəl yer planəti ilə toquştu bu üçün yer planətiində ziyarandaqını başa düşməyə təlışdır.",0.5909090909090909,0.1987179487179487
honkonq adası yerləşdiyi əraziyə də öz adını verib və bu ərazi turistlərin diqqətini cəlb edən əsas mərkəzdir,Honkong adası yirləşti yarazıya də öz admə verip və bu yarazı türüslerin dik qətmin cəlbədən əsas məriqəzdir.,0.6470588235294118,0.27522935779816515
uşaqlar üçün ərazidə ən maraqlı şeylərdən biri piramida səsi və işıqları şousudur,Uşaklar üçün arazıda məraglaşıyılardan biri piramida səsi ve şıkları şaustudur.,0.6666666666666666,0.2716049382716049
honkonq adası yerləşdiyi əraziyə də öz adını verib və bu ərazi turistlərin diqqətini cəlb edən əsas mərkəzdir,"Hong Kong adası yilləşti araziyadə öz adını verip, və bu arazı tuluşların dikkatini zəlbədəm əsas mərixəzdir.",0.7058823529411765,0.30275229357798167
çoxlu sayda insanın və malların okeanlar arasında daşınması üçün ən səmərəli yol yük gəmilərindən istifadə etmək idi,Çoklu saydı insanın və malların okyanlar və arasında taşınması üçün enseməmə hərəli yol yükgemlələn istvada itmək idi.,0.7058823529411765,0.23275862068965517
maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,"Məri adlanın qaramı qahtların altında daha nəzək, daha lük yerlər nəzə daha qalın görürlür.",0.7142857142857143,0.30927835051546393
pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,"Fuzduk cümidərisi və də nəkvaron əyəkvaras əyəb, bu guslar yumurta qoya bilir və tiranla zavır reksləvqim əkkarq əyə varmıştın də gəze bililir.",0.7391304347826086,0.375
elektronlarından ayrılmış protonlar hidrogen ionları hesab olunur çünki hidrogen atomları bir proton və bir elektrondan ibarətdir,"Elektronlardır ayrılı şikrotonlar, hidrogin inonları hesap olur. Çükik hidrogin atomları bir proton ve bir elektronlən ibaredir.",0.75,0.20155038759689922
yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,Yənə də şəndin zonasə bu baxamdan bir gədəl təktaşta uvalat fungşasına malikdir.,0.75,0.3026315789473684
qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər,"Konaklara ruk yüksekləyinin korummaq və onların həmin yeri də konaklanmasının təmin etmək yusundur, onların adıdan kusuygəmək içmek və elənce təkif edilir.",0.75,0.31543624161073824
ayrılma və yenidən birləşmə hər nəsildən olan iki qrup arasında variasiyaları irəli-geri qarışdırır,"Ayrılma və yiyindən billəşmə hər nəsilə umma iki grup arasında var ya, səllar irlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələlələl",0.7692307692307693,4.313131313131313
lakin quşların hələ də dinozavra bənzəyən çoxlu tərəfləri var,Lakin gusların hələdəkini azavra bənzəyən çoğur tərəfləri var.,0.7777777777777778,0.21311475409836064
mərasimin i̇taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı,Mərâsimin italyan bir çox digarış şərlərinə de və dünyanın qalan hissəsinde sülə de borşu dəkiniş insan kütündə rətərəkini izləməsiyyəcim həmin yerlə də enişəkirlə ne hək əkranlar buraşdırı oldu.,0.7777777777777778,0.29901960784313725
bir çox insanların onları dinozavr kimi qəbul etməməsinin səbəbi lələklərinin olması və uça bilməsidir,"Bir şox insanların onlara dinazabır kim qəvıl etməsinin səbəbi lələklələlən, olması bə uçabil məsidir.",0.7857142857142857,0.19607843137254902
müharibə bitdikdən 2 il sonra əvvəlki müttəfiqlər artıq düşmən idi və soyuq müharibə başlamışdı,Müharibə bittiğinden çilisonu evvəkimi təfiklar artıq düşməniyinde və soyok müharibə başlamışdır.,0.7857142857142857,0.2736842105263158
